"prov","urban","sex","age","marital","education","length_stay","employment","income","sat_education","sat_job","sat_income","sat_health","sat_family","sat_leisure","sat_social","sat_safety","sat_environment","sat_home","happy"
"Jawa Barat","Rural","Male","31-40","Married","Medium","21-40","Unemployed",NA,3,NA,4,8,8,7,8,8,8,8,7
"Jawa Timur","Urban","Female","51-60","Not married","Low","41-60","Employed","1.5M-2.5M",3,8,7,2,7,8,7,8,7,8,7
"Sumatera Barat","Rural","Female","51-60","Not married","Low","<=20","Unemployed",NA,6,NA,6,5,7,7,7,7,7,7,7
"Sumatera Utara","Urban","Female",">60","Married","Medium","41-60","Unemployed",NA,6,NA,5,7,7,6,4,7,8,6,6
"Kalimantan Tengah","Rural","Male","31-40","Married","Medium","<=20","Employed","2.5M-4M",8,9,9,8,10,10,10,10,8,10,10
"Sumatera Selatan","Rural","Female","41-50","Married","Medium","<=20","Employed","1.5M-2.5M",10,9,7,8,9,7,7,9,9,7,9
"Jawa Barat","Urban","Male","41-50","Married","Medium","<=20","Employed","1.5M-2.5M",8,9,8,8,8,8,8,9,9,9,9
"Kepulauan Riau","Urban","Female",">60","Not married","Low","41-60","Unemployed",NA,6,NA,5,8,7,7,8,8,7,7,7
"Nusa Tenggara Barat","Rural","Female","31-40","Married","Medium","<=20","Unemployed",NA,10,NA,5,10,10,5,8,8,10,10,10
"Sulawesi Barat","Rural","Male","51-60","Married","Medium","21-40","Unemployed",NA,7,NA,6,5,7,7,7,9,7,8,7
"Jawa Barat","Urban","Male","41-50","Married","Medium","21-40","Employed",">4M",8,9,9,9,8,8,8,8,8,9,9
"Sulawesi Selatan","Rural","Male","51-60","Married","Low","21-40","Employed","2.5M-4M",4,9,9,8,9,8,9,9,9,9,10
"Jawa Timur","Rural","Female","31-40","Married","Medium","<=20","Employed","<1M",7,6,7,8,9,7,7,7,6,5,8
"Bali","Urban","Female","31-40","Married","Medium","<=20","Employed","<1M",6,3,3,7,7,6,7,7,7,3,5
"Sumatera Utara","Urban","Female","51-60","Married","Medium","21-40","Employed","<1M",6,7,6,9,8,7,9,8,9,6,6
